year_month,year,month,high_exposure,post_treatment,num_repos,num_prs,avg_lead_time_hours,median_lead_time_hours,std_lead_time_hours,avg_commits_per_pr,avg_review_comments,avg_code_churn,avg_changed_files,avg_additions,avg_deletions,date
2021-05,2021,5,True,False,86556,794843,36.95916677884814,0,99.0475959157324,3.821725799937851,0.48881854655573564,800.2138183263868,9.20185244129973,497.5788589696331,302.6349593567535,2021-05-01
2021-06,2021,6,False,False,613,4408,53.77745009074409,3,118.02039786943824,5.376134301270416,1.2232304900181477,800.3359800362975,11.323729582577128,528.0596642468238,272.27631578947336,2021-06-01
2021-06,2021,6,True,False,86593,841150,31.21862331332104,0,88.01385451902685,3.8419592224930166,0.5308672650537948,830.7725827735836,9.456029245675566,529.8217404743508,300.9508422992341,2021-06-01
2021-07,2021,7,False,False,593,4320,50.93703703703709,3,110.50302680726251,5.15601851851852,1.096759259259259,897.9601851851847,13.307638888888897,577.6574074074066,320.3027777777775,2021-07-01
2021-07,2021,7,True,False,80610,835743,29.219982698030368,0,84.25131145273761,3.786495369988136,0.5273223945638784,795.077644682635,9.293639312563792,509.20159068038777,285.8760540022477,2021-07-01
2021-08,2021,8,False,False,563,3759,52.72306464485237,3,114.65574814563536,4.437084330939076,1.1561585528065965,903.4328278797551,12.505985634477259,507.0460228784249,396.38680500132983,2021-08-01
2021-08,2021,8,True,False,82591,753010,32.37510524428623,0,91.67824113156412,3.7790839431083243,0.5079334935791028,774.7114527031514,9.87687547310128,491.4109719658436,283.3004807373078,2021-08-01
2021-09,2021,9,False,False,597,4224,41.82244318181819,3,88.99282369541942,4.284564393939396,1.0561079545454544,983.5785984848488,16.718750000000014,541.7123579545458,441.866240530303,2021-09-01
2021-09,2021,9,True,False,82314,817702,24.58239187381223,0,69.70365496664357,3.847770948340593,0.44664193067890234,820.2811329799857,9.764311448424975,519.1406588219179,301.1404741580674,2021-09-01
2021-10,2021,10,False,False,438,1447,87.42916378714582,4,160.4485941842993,5.55908776779544,1.55148583275743,786.7221838286108,20.664823773324112,548.3206634416033,238.40152038700765,2021-10-01
2021-10,2021,10,True,False,57127,280364,46.95283987958511,0,122.17896206261076,4.2769613787790215,0.5879606511535002,861.2188405073405,9.538021999971475,565.1141694368753,296.1046710704657,2021-10-01
2021-11,2021,11,False,False,610,4804,50.78059950041631,3,112.35818438061665,5.097002497918395,1.0999167360532884,1007.5874271440464,22.5203996669442,597.6602830974188,409.9271440466277,2021-11-01
2021-11,2021,11,True,False,81990,909709,28.337856391439452,0,83.00846377326165,4.034375827874631,0.5040370052401375,886.0538128126686,10.076978462343439,554.1090678447722,331.944744967897,2021-11-01
2021-12,2021,12,False,False,549,4260,27.91103286384977,1,65.96054816635515,4.263615023474179,0.9730046948356808,882.1800469483566,14.513849765258207,567.41455399061,314.76549295774646,2021-12-01
2021-12,2021,12,True,False,72652,780147,17.485728971591268,0,53.28285165487177,3.624259274213706,0.3598283400436072,805.5471994380542,9.516352687378147,496.68201377432666,308.8651856637276,2021-12-01
